<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
ARSF-RM;60;24/08/20;23:00:00;15884.0000000;15940.0000000;15884.0000000;15940.0000000;23
ARSF-RM;60;25/08/20;00:00:00;16018.0000000;16300.0000000;15900.0000000;16300.0000000;40
ARSF-RM;60;25/08/20;11:00:00;16300.0000000;16300.0000000;15940.0000000;16035.0000000;496
ARSF-RM;60;25/08/20;12:00:00;16022.0000000;16073.0000000;15985.0000000;16071.0000000;285
ARSF-RM;60;25/08/20;13:00:00;16071.0000000;16072.0000000;16050.0000000;16050.0000000;140
ARSF-RM;60;25/08/20;14:00:00;16041.0000000;16064.0000000;16000.0000000;16064.0000000;218
ARSF-RM;60;25/08/20;15:00:00;16032.0000000;16051.0000000;16000.0000000;16026.0000000;185
ARSF-RM;60;25/08/20;16:00:00;16028.0000000;16035.0000000;16000.0000000;16000.0000000;119
ARSF-RM;60;25/08/20;17:00:00;16015.0000000;16070.0000000;15960.0000000;16056.0000000;366
ARSF-RM;60;25/08/20;18:00:00;16056.0000000;16228.0000000;16056.0000000;16200.0000000;95
ARSF-RM;60;25/08/20;19:00:00;16239.0000000;16300.0000000;16170.0000000;16200.0000000;197
ARSF-RM;60;25/08/20;20:00:00;16223.0000000;16336.0000000;16223.0000000;16293.0000000;101
ARSF-RM;60;25/08/20;21:00:00;16293.0000000;16293.0000000;16200.0000000;16263.0000000;147
ARSF-RM;60;25/08/20;22:00:00;16240.0000000;16291.0000000;16239.0000000;16277.0000000;30
ARSF-RM;60;25/08/20;23:00:00;16251.0000000;16305.0000000;16251.0000000;16305.0000000;6
ARSF-RM;60;26/08/20;00:00:00;16305.0000000;16400.0000000;16305.0000000;16400.0000000;9
ARSF-RM;60;26/08/20;11:00:00;16728.0000000;16728.0000000;16310.0000000;16400.0000000;75
ARSF-RM;60;26/08/20;12:00:00;16400.0000000;16482.0000000;16372.0000000;16455.0000000;84
ARSF-RM;60;26/08/20;13:00:00;16473.0000000;16513.0000000;16402.0000000;16513.0000000;44
ARSF-RM;60;26/08/20;14:00:00;16532.0000000;16765.0000000;16500.0000000;16500.0000000;194
ARSF-RM;60;26/08/20;15:00:00;16543.0000000;17200.0000000;16476.0000000;16541.0000000;683
ARSF-RM;60;26/08/20;16:00:00;16550.0000000;16581.0000000;16510.0000000;16581.0000000;152
ARSF-RM;60;26/08/20;17:00:00;16581.0000000;16628.0000000;16533.0000000;16592.0000000;444
ARSF-RM;60;26/08/20;18:00:00;16577.0000000;16689.0000000;16577.0000000;16656.0000000;65
ARSF-RM;60;26/08/20;19:00:00;16663.0000000;16766.0000000;16635.0000000;16755.0000000;243
ARSF-RM;60;26/08/20;20:00:00;16798.0000000;16821.0000000;16667.0000000;16687.0000000;64
ARSF-RM;60;26/08/20;21:00:00;16660.0000000;16667.0000000;16594.0000000;16667.0000000;44
