<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
CZC-RM;60;24/08/20;23:00:00;3005.0000000;3029.0000000;3005.0000000;3029.0000000;17
CZC-RM;60;25/08/20;00:00:00;3030.0000000;3030.0000000;3015.0000000;3030.0000000;34
CZC-RM;60;25/08/20;11:00:00;3043.0000000;3051.0000000;3040.0000000;3051.0000000;320
CZC-RM;60;25/08/20;12:00:00;3049.0000000;3057.0000000;3014.0000000;3053.0000000;423
CZC-RM;60;25/08/20;13:00:00;3053.0000000;3053.0000000;3045.0000000;3051.0000000;29
CZC-RM;60;25/08/20;14:00:00;3050.0000000;3055.0000000;3046.0000000;3055.0000000;115
CZC-RM;60;25/08/20;15:00:00;3054.0000000;3054.0000000;3034.0000000;3035.0000000;78
CZC-RM;60;25/08/20;16:00:00;3037.0000000;3038.0000000;3020.0000000;3036.0000000;1045
CZC-RM;60;25/08/20;17:00:00;3034.0000000;3034.0000000;2968.0000000;2968.0000000;496
CZC-RM;60;25/08/20;18:00:00;2970.0000000;2996.0000000;2958.0000000;2992.0000000;317
CZC-RM;60;25/08/20;19:00:00;2994.0000000;3018.0000000;2993.0000000;3018.0000000;408
CZC-RM;60;25/08/20;20:00:00;3019.0000000;3048.0000000;3014.0000000;3032.0000000;133
CZC-RM;60;25/08/20;21:00:00;3032.0000000;3052.0000000;3032.0000000;3047.0000000;40
CZC-RM;60;25/08/20;22:00:00;3042.0000000;3050.0000000;3042.0000000;3046.0000000;27
CZC-RM;60;25/08/20;23:00:00;3051.0000000;3061.0000000;3051.0000000;3053.0000000;141
CZC-RM;60;26/08/20;00:00:00;3056.0000000;3064.0000000;3050.0000000;3050.0000000;23
CZC-RM;60;26/08/20;11:00:00;3100.0000000;3111.0000000;3050.0000000;3072.0000000;255
CZC-RM;60;26/08/20;12:00:00;3078.0000000;3093.0000000;3078.0000000;3087.0000000;392
CZC-RM;60;26/08/20;13:00:00;3087.0000000;3100.0000000;3078.0000000;3100.0000000;41
CZC-RM;60;26/08/20;14:00:00;3100.0000000;3111.0000000;3090.0000000;3090.0000000;218
CZC-RM;60;26/08/20;15:00:00;3082.0000000;3094.0000000;3070.0000000;3089.0000000;332
CZC-RM;60;26/08/20;16:00:00;3090.0000000;3090.0000000;3052.0000000;3080.0000000;206
CZC-RM;60;26/08/20;17:00:00;3077.0000000;3097.0000000;3060.0000000;3072.0000000;79
CZC-RM;60;26/08/20;18:00:00;3070.0000000;3070.0000000;3047.0000000;3057.0000000;133
CZC-RM;60;26/08/20;19:00:00;3062.0000000;3115.0000000;3062.0000000;3095.0000000;123
CZC-RM;60;26/08/20;20:00:00;3092.0000000;3117.0000000;3080.0000000;3090.0000000;106
CZC-RM;60;26/08/20;21:00:00;3098.0000000;3110.0000000;3095.0000000;3110.0000000;16
CZC-RM;60;26/08/20;22:00:00;3108.0000000;3109.0000000;3081.0000000;3084.0000000;45
CZC-RM;60;26/08/20;23:00:00;3082.0000000;3108.0000000;3082.0000000;3108.0000000;54
CZC-RM;60;27/08/20;00:00:00;3100.0000000;3119.0000000;3100.0000000;3119.0000000;35
CZC-RM;60;27/08/20;11:00:00;3120.0000000;3120.0000000;3092.0000000;3105.0000000;113
CZC-RM;60;27/08/20;12:00:00;3102.0000000;3102.0000000;3080.0000000;3080.0000000;91
CZC-RM;60;27/08/20;13:00:00;3084.0000000;3089.0000000;3070.0000000;3076.0000000;578
CZC-RM;60;27/08/20;14:00:00;3077.0000000;3087.0000000;3074.0000000;3087.0000000;136
CZC-RM;60;27/08/20;15:00:00;3097.0000000;3099.0000000;3074.0000000;3091.0000000;35
CZC-RM;60;27/08/20;16:00:00;3080.0000000;3082.0000000;3074.0000000;3074.0000000;36
CZC-RM;60;27/08/20;17:00:00;3080.0000000;3084.0000000;3029.0000000;3029.0000000;175
CZC-RM;60;27/08/20;18:00:00;3034.0000000;3055.0000000;3023.0000000;3040.0000000;177
CZC-RM;60;27/08/20;19:00:00;3034.0000000;3079.0000000;3033.0000000;3079.0000000;116
CZC-RM;60;27/08/20;20:00:00;3078.0000000;3078.0000000;3030.0000000;3035.0000000;58
CZC-RM;60;27/08/20;21:00:00;3033.0000000;3058.0000000;3033.0000000;3056.0000000;17
CZC-RM;60;27/08/20;22:00:00;3063.0000000;3063.0000000;3061.0000000;3061.0000000;5
CZC-RM;60;27/08/20;23:00:00;3051.0000000;3054.0000000;3040.0000000;3040.0000000;18
CZC-RM;60;28/08/20;00:00:00;3051.0000000;3051.0000000;3031.0000000;3031.0000000;8
CZC-RM;60;28/08/20;11:00:00;3050.0000000;3094.0000000;3014.0000000;3040.0000000;571
CZC-RM;60;28/08/20;12:00:00;3036.0000000;3043.0000000;3016.0000000;3033.0000000;84
CZC-RM;60;28/08/20;13:00:00;3032.0000000;3037.0000000;3019.0000000;3023.0000000;51
CZC-RM;60;28/08/20;14:00:00;3030.0000000;3034.0000000;3017.0000000;3019.0000000;28
CZC-RM;60;28/08/20;15:00:00;3019.0000000;3020.0000000;3015.0000000;3020.0000000;15
CZC-RM;60;28/08/20;16:00:00;3020.0000000;3020.0000000;3020.0000000;3020.0000000;17
CZC-RM;60;28/08/20;17:00:00;3020.0000000;3035.0000000;3019.0000000;3031.0000000;37
CZC-RM;60;28/08/20;18:00:00;3026.0000000;3052.0000000;3026.0000000;3038.0000000;262
CZC-RM;60;28/08/20;19:00:00;3039.0000000;3040.0000000;3035.0000000;3040.0000000;9
CZC-RM;60;28/08/20;20:00:00;3035.0000000;3044.0000000;3034.0000000;3041.0000000;17
CZC-RM;60;28/08/20;21:00:00;3039.0000000;3039.0000000;3030.0000000;3036.0000000;15
CZC-RM;60;28/08/20;22:00:00;3042.0000000;3047.0000000;3042.0000000;3047.0000000;4
CZC-RM;60;28/08/20;23:00:00;3047.0000000;3050.0000000;3041.0000000;3046.0000000;9
CZC-RM;60;29/08/20;00:00:00;3060.0000000;3060.0000000;3030.0000000;3030.0000000;6
CZC-RM;60;31/08/20;11:00:00;3037.0000000;3052.0000000;3027.0000000;3049.0000000;61
CZC-RM;60;31/08/20;12:00:00;3030.0000000;3046.0000000;3021.0000000;3041.0000000;125
CZC-RM;60;31/08/20;13:00:00;3042.0000000;3049.0000000;3021.0000000;3040.0000000;53
CZC-RM;60;31/08/20;14:00:00;3040.0000000;3041.0000000;3002.0000000;3019.0000000;120
CZC-RM;60;31/08/20;15:00:00;3012.0000000;3036.0000000;3010.0000000;3035.0000000;16
CZC-RM;60;31/08/20;16:00:00;3019.0000000;3035.0000000;3019.0000000;3035.0000000;40
CZC-RM;60;31/08/20;17:00:00;3023.0000000;3034.0000000;3018.0000000;3034.0000000;44
CZC-RM;60;31/08/20;18:00:00;3030.0000000;3042.0000000;3030.0000000;3042.0000000;22
CZC-RM;60;31/08/20;19:00:00;3042.0000000;3042.0000000;3017.0000000;3035.0000000;31
CZC-RM;60;31/08/20;20:00:00;3040.0000000;3050.0000000;3017.0000000;3048.0000000;102
CZC-RM;60;31/08/20;21:00:00;3048.0000000;3048.0000000;3039.0000000;3039.0000000;6
CZC-RM;60;31/08/20;22:00:00;3027.0000000;3027.0000000;3023.0000000;3023.0000000;10
CZC-RM;60;31/08/20;23:00:00;3020.0000000;3020.0000000;3015.0000000;3015.0000000;25
CZC-RM;60;01/09/20;11:00:00;3002.0000000;3011.0000000;2999.0000000;3010.0000000;21
CZC-RM;60;01/09/20;12:00:00;3011.0000000;3044.0000000;2952.0000000;3002.0000000;662
CZC-RM;60;01/09/20;13:00:00;3009.0000000;3014.0000000;3000.0000000;3002.0000000;14
CZC-RM;60;01/09/20;14:00:00;3008.0000000;3015.0000000;3008.0000000;3009.0000000;8
CZC-RM;60;01/09/20;15:00:00;3013.0000000;3017.0000000;3010.0000000;3011.0000000;27
CZC-RM;60;01/09/20;16:00:00;3010.0000000;3011.0000000;3010.0000000;3010.0000000;6
CZC-RM;60;01/09/20;17:00:00;3010.0000000;3010.0000000;2963.0000000;2972.0000000;1866
CZC-RM;60;01/09/20;18:00:00;2972.0000000;2980.0000000;2954.0000000;2954.0000000;3092
CZC-RM;60;01/09/20;19:00:00;2954.0000000;2975.0000000;2954.0000000;2975.0000000;65
CZC-RM;60;01/09/20;20:00:00;2981.0000000;2983.0000000;2966.0000000;2970.0000000;36
CZC-RM;60;01/09/20;21:00:00;3006.0000000;3035.0000000;3000.0000000;3024.0000000;107
CZC-RM;60;01/09/20;22:00:00;3030.0000000;3036.0000000;3025.0000000;3036.0000000;15
CZC-RM;60;01/09/20;23:00:00;3036.0000000;3036.0000000;3036.0000000;3036.0000000;3
CZC-RM;60;02/09/20;00:00:00;3009.0000000;3036.0000000;3008.0000000;3036.0000000;25
CZC-RM;60;02/09/20;11:00:00;3043.0000000;3056.0000000;3041.0000000;3053.0000000;121
CZC-RM;60;02/09/20;12:00:00;3054.0000000;3060.0000000;3041.0000000;3055.0000000;357
CZC-RM;60;02/09/20;13:00:00;3055.0000000;3074.0000000;3055.0000000;3074.0000000;41
CZC-RM;60;02/09/20;14:00:00;3074.0000000;3074.0000000;3062.0000000;3074.0000000;631
CZC-RM;60;02/09/20;15:00:00;3074.0000000;3074.0000000;3059.0000000;3062.0000000;13
CZC-RM;60;02/09/20;16:00:00;3069.0000000;3087.0000000;3065.0000000;3087.0000000;51
CZC-RM;60;02/09/20;17:00:00;3080.0000000;3150.0000000;3071.0000000;3145.0000000;742
CZC-RM;60;02/09/20;18:00:00;3127.0000000;3241.0000000;3126.0000000;3241.0000000;1266
CZC-RM;60;02/09/20;19:00:00;3225.0000000;3249.0000000;3203.0000000;3215.0000000;851
CZC-RM;60;02/09/20;20:00:00;3215.0000000;3262.0000000;3215.0000000;3257.0000000;409
CZC-RM;60;02/09/20;21:00:00;3260.0000000;3300.0000000;3243.0000000;3253.0000000;166
CZC-RM;60;02/09/20;22:00:00;3253.0000000;3300.0000000;3251.0000000;3281.0000000;230
CZC-RM;60;02/09/20;23:00:00;3292.0000000;3317.0000000;3286.0000000;3286.0000000;784
CZC-RM;60;03/09/20;00:00:00;3284.0000000;3333.0000000;2678.0000000;3182.0000000;1147
CZC-RM;60;03/09/20;11:00:00;3119.0000000;3317.0000000;3119.0000000;3291.0000000;1556
CZC-RM;60;03/09/20;12:00:00;3290.0000000;3290.0000000;3220.0000000;3245.0000000;1307
CZC-RM;60;03/09/20;13:00:00;3244.0000000;3268.0000000;3237.0000000;3245.0000000;102
CZC-RM;60;03/09/20;14:00:00;3244.0000000;3247.0000000;3226.0000000;3245.0000000;105
CZC-RM;60;03/09/20;15:00:00;3249.0000000;3258.0000000;3231.0000000;3249.0000000;179
CZC-RM;60;03/09/20;16:00:00;3245.0000000;3246.0000000;3234.0000000;3235.0000000;138
CZC-RM;60;03/09/20;17:00:00;3230.0000000;3230.0000000;3150.0000000;3185.0000000;743
CZC-RM;60;03/09/20;18:00:00;3195.0000000;3205.0000000;3111.0000000;3137.0000000;1307
CZC-RM;60;03/09/20;19:00:00;3143.0000000;3172.0000000;3100.0000000;3172.0000000;1222
CZC-RM;60;03/09/20;20:00:00;3165.0000000;3180.0000000;3100.0000000;3128.0000000;1917
CZC-RM;60;03/09/20;21:00:00;3131.0000000;3163.0000000;3131.0000000;3153.0000000;643
CZC-RM;60;03/09/20;22:00:00;3153.0000000;3155.0000000;3127.0000000;3130.0000000;219
CZC-RM;60;03/09/20;23:00:00;3126.0000000;3126.0000000;3110.0000000;3120.0000000;84
CZC-RM;60;04/09/20;00:00:00;3146.0000000;3146.0000000;3098.0000000;3098.0000000;2
CZC-RM;60;04/09/20;11:00:00;3098.0000000;3104.0000000;3054.0000000;3104.0000000;281
CZC-RM;60;04/09/20;12:00:00;3104.0000000;3121.0000000;3089.0000000;3119.0000000;311
CZC-RM;60;04/09/20;13:00:00;3111.0000000;3119.0000000;3111.0000000;3112.0000000;6
CZC-RM;60;04/09/20;14:00:00;3118.0000000;3120.0000000;3110.0000000;3110.0000000;53
CZC-RM;60;04/09/20;15:00:00;3105.0000000;3105.0000000;3061.0000000;3065.0000000;114
CZC-RM;60;04/09/20;16:00:00;3079.0000000;3085.0000000;3079.0000000;3085.0000000;3
CZC-RM;60;04/09/20;17:00:00;3103.0000000;3121.0000000;3042.0000000;3042.0000000;156
CZC-RM;60;04/09/20;18:00:00;3040.0000000;3065.0000000;2910.0000000;2984.0000000;3550
CZC-RM;60;04/09/20;19:00:00;2982.0000000;3000.0000000;2935.0000000;2993.0000000;907
CZC-RM;60;04/09/20;20:00:00;3000.0000000;3013.0000000;2985.0000000;3001.0000000;428
CZC-RM;60;04/09/20;21:00:00;3001.0000000;3001.0000000;2975.0000000;2990.0000000;47
CZC-RM;60;04/09/20;22:00:00;2986.0000000;3019.0000000;2972.0000000;3010.0000000;1576
CZC-RM;60;04/09/20;23:00:00;3009.0000000;3027.0000000;2993.0000000;3006.0000000;323
CZC-RM;60;05/09/20;00:00:00;3020.0000000;3020.0000000;3000.0000000;3015.0000000;183
CZC-RM;60;08/09/20;11:00:00;3008.0000000;3038.0000000;3008.0000000;3029.0000000;175
CZC-RM;60;08/09/20;12:00:00;3025.0000000;3025.0000000;2987.0000000;2994.0000000;56
CZC-RM;60;08/09/20;13:00:00;2992.0000000;3008.0000000;2992.0000000;2992.0000000;18
CZC-RM;60;08/09/20;14:00:00;2990.0000000;2996.0000000;2971.0000000;2996.0000000;35
CZC-RM;60;08/09/20;15:00:00;2990.0000000;2999.0000000;2971.0000000;2975.0000000;62
CZC-RM;60;08/09/20;16:00:00;2971.0000000;2971.0000000;2942.0000000;2951.0000000;21
CZC-RM;60;08/09/20;17:00:00;2951.0000000;2975.0000000;2929.0000000;2940.0000000;667
CZC-RM;60;08/09/20;18:00:00;2978.0000000;2984.0000000;2960.0000000;2962.0000000;4689
CZC-RM;60;08/09/20;19:00:00;2982.0000000;2997.0000000;2955.0000000;2955.0000000;976
CZC-RM;60;08/09/20;20:00:00;2965.0000000;2975.0000000;2965.0000000;2975.0000000;6
CZC-RM;60;08/09/20;21:00:00;2978.0000000;2978.0000000;2961.0000000;2961.0000000;44
CZC-RM;60;08/09/20;22:00:00;2963.0000000;2963.0000000;2925.0000000;2936.0000000;99
CZC-RM;60;08/09/20;23:00:00;2921.0000000;2932.0000000;2910.0000000;2910.0000000;51
CZC-RM;60;09/09/20;00:00:00;2911.0000000;2920.0000000;2911.0000000;2915.0000000;16
CZC-RM;60;09/09/20;11:00:00;2668.0000000;2940.0000000;2667.0000000;2918.0000000;85
CZC-RM;60;09/09/20;12:00:00;2918.0000000;2950.0000000;2918.0000000;2947.0000000;328
CZC-RM;60;09/09/20;13:00:00;2947.0000000;2948.0000000;2926.0000000;2932.0000000;34
CZC-RM;60;09/09/20;14:00:00;2944.0000000;2964.0000000;2940.0000000;2940.0000000;364
CZC-RM;60;09/09/20;15:00:00;2940.0000000;2946.0000000;2940.0000000;2946.0000000;30
CZC-RM;60;09/09/20;16:00:00;2946.0000000;2947.0000000;2935.0000000;2937.0000000;34
CZC-RM;60;09/09/20;17:00:00;2937.0000000;2948.0000000;2904.0000000;2905.0000000;1293
CZC-RM;60;09/09/20;18:00:00;2925.0000000;2973.0000000;2922.0000000;2965.0000000;100
CZC-RM;60;09/09/20;19:00:00;2972.0000000;2982.0000000;2965.0000000;2982.0000000;407
CZC-RM;60;09/09/20;20:00:00;2985.0000000;2994.0000000;2985.0000000;2994.0000000;37
CZC-RM;60;09/09/20;21:00:00;2994.0000000;2994.0000000;2968.0000000;2968.0000000;1731
CZC-RM;60;09/09/20;22:00:00;2961.0000000;2975.0000000;2960.0000000;2975.0000000;67
CZC-RM;60;09/09/20;23:00:00;2980.0000000;3003.0000000;2980.0000000;2983.0000000;67
CZC-RM;60;10/09/20;00:00:00;2981.0000000;2985.0000000;2979.0000000;2979.0000000;28
CZC-RM;60;10/09/20;11:00:00;2980.0000000;3000.0000000;2980.0000000;2987.0000000;53
CZC-RM;60;10/09/20;12:00:00;2983.0000000;2983.0000000;2975.0000000;2982.0000000;15
CZC-RM;60;10/09/20;13:00:00;2982.0000000;2983.0000000;2982.0000000;2982.0000000;14
CZC-RM;60;10/09/20;14:00:00;2974.0000000;2983.0000000;2967.0000000;2981.0000000;22
CZC-RM;60;10/09/20;15:00:00;2976.0000000;2976.0000000;2960.0000000;2961.0000000;21
CZC-RM;60;10/09/20;16:00:00;2975.0000000;2982.0000000;2975.0000000;2982.0000000;10
CZC-RM;60;10/09/20;17:00:00;2983.0000000;3009.0000000;2975.0000000;2988.0000000;1052
CZC-RM;60;10/09/20;18:00:00;3013.0000000;3020.0000000;2996.0000000;2996.0000000;649
CZC-RM;60;10/09/20;19:00:00;2981.0000000;3014.0000000;2981.0000000;3006.0000000;315
CZC-RM;60;10/09/20;20:00:00;2994.0000000;2995.0000000;2984.0000000;2990.0000000;319
CZC-RM;60;10/09/20;21:00:00;2990.0000000;2991.0000000;2982.0000000;2982.0000000;605
CZC-RM;60;10/09/20;22:00:00;2982.0000000;2982.0000000;2950.0000000;2960.0000000;1599
CZC-RM;60;10/09/20;23:00:00;2960.0000000;2960.0000000;2935.0000000;2936.0000000;31
CZC-RM;60;11/09/20;00:00:00;2943.0000000;2943.0000000;2930.0000000;2930.0000000;13
CZC-RM;60;11/09/20;11:00:00;2953.0000000;2954.0000000;2936.0000000;2945.0000000;19
CZC-RM;60;11/09/20;12:00:00;2946.0000000;2946.0000000;2941.0000000;2941.0000000;18
CZC-RM;60;11/09/20;13:00:00;2941.0000000;2950.0000000;2938.0000000;2949.0000000;50
CZC-RM;60;11/09/20;14:00:00;2950.0000000;2951.0000000;2938.0000000;2938.0000000;19
CZC-RM;60;11/09/20;15:00:00;2941.0000000;2941.0000000;2941.0000000;2941.0000000;2
CZC-RM;60;11/09/20;16:00:00;2941.0000000;2950.0000000;2941.0000000;2949.0000000;14
CZC-RM;60;11/09/20;17:00:00;2949.0000000;2949.0000000;2898.0000000;2898.0000000;81
CZC-RM;60;11/09/20;18:00:00;2922.0000000;2950.0000000;2922.0000000;2948.0000000;33
CZC-RM;60;11/09/20;19:00:00;2942.0000000;2958.0000000;2936.0000000;2942.0000000;2164
CZC-RM;60;11/09/20;20:00:00;2940.0000000;2940.0000000;2917.0000000;2919.0000000;618
CZC-RM;60;11/09/20;21:00:00;2907.0000000;2915.0000000;2898.0000000;2911.0000000;55
CZC-RM;60;11/09/20;22:00:00;2910.0000000;2921.0000000;2910.0000000;2921.0000000;10
CZC-RM;60;11/09/20;23:00:00;2922.0000000;2929.0000000;2921.0000000;2927.0000000;780
CZC-RM;60;12/09/20;00:00:00;2932.0000000;2932.0000000;2911.0000000;2911.0000000;2
CZC-RM;60;14/09/20;11:00:00;2928.0000000;2949.0000000;2928.0000000;2948.0000000;32
CZC-RM;60;14/09/20;12:00:00;2950.0000000;2953.0000000;2939.0000000;2951.0000000;17
CZC-RM;60;14/09/20;13:00:00;2962.0000000;2973.0000000;2962.0000000;2970.0000000;25
CZC-RM;60;14/09/20;14:00:00;2970.0000000;2976.0000000;2960.0000000;2974.0000000;46
CZC-RM;60;14/09/20;15:00:00;2974.0000000;2977.0000000;2973.0000000;2977.0000000;21
CZC-RM;60;14/09/20;16:00:00;2970.0000000;2981.0000000;2970.0000000;2981.0000000;49
CZC-RM;60;14/09/20;17:00:00;2981.0000000;2981.0000000;2950.0000000;2950.0000000;223
CZC-RM;60;14/09/20;18:00:00;2965.0000000;2968.0000000;2964.0000000;2967.0000000;67
CZC-RM;60;14/09/20;19:00:00;2958.0000000;2958.0000000;2937.0000000;2937.0000000;63
CZC-RM;60;14/09/20;20:00:00;2937.0000000;2937.0000000;2915.0000000;2918.0000000;43
CZC-RM;60;14/09/20;21:00:00;2918.0000000;2922.0000000;2910.0000000;2922.0000000;128
CZC-RM;60;14/09/20;22:00:00;2921.0000000;2930.0000000;2919.0000000;2925.0000000;149
CZC-RM;60;14/09/20;23:00:00;2925.0000000;2925.0000000;2925.0000000;2925.0000000;9
CZC-RM;60;15/09/20;00:00:00;2925.0000000;2934.0000000;2912.0000000;2916.0000000;8
CZC-RM;60;15/09/20;11:00:00;2915.0000000;2943.0000000;2915.0000000;2937.0000000;69
CZC-RM;60;15/09/20;12:00:00;2937.0000000;2950.0000000;2925.0000000;2944.0000000;115
CZC-RM;60;15/09/20;13:00:00;2942.0000000;2945.0000000;2925.0000000;2941.0000000;49
CZC-RM;60;15/09/20;14:00:00;2942.0000000;2943.0000000;2939.0000000;2939.0000000;33
CZC-RM;60;15/09/20;15:00:00;2941.0000000;2946.0000000;2941.0000000;2945.0000000;35
CZC-RM;60;15/09/20;16:00:00;2945.0000000;2945.0000000;2937.0000000;2937.0000000;37
CZC-RM;60;15/09/20;17:00:00;2944.0000000;2950.0000000;2910.0000000;2910.0000000;100
CZC-RM;60;15/09/20;18:00:00;2910.0000000;2914.0000000;2878.0000000;2903.0000000;1086
CZC-RM;60;15/09/20;19:00:00;2902.0000000;2914.0000000;2897.0000000;2897.0000000;252
