<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
NDMS-RM;60;08/09/20;11:00:00;9840.0000000;9840.0000000;9175.0000000;9196.0000000;3383
NDMS-RM;60;08/09/20;12:00:00;9196.0000000;9196.0000000;8900.0000000;8954.0000000;1685
NDMS-RM;60;08/09/20;13:00:00;8954.0000000;9013.0000000;8900.0000000;8941.0000000;1004
NDMS-RM;60;08/09/20;14:00:00;8930.0000000;8985.0000000;8850.0000000;8985.0000000;519
NDMS-RM;60;08/09/20;15:00:00;8985.0000000;8985.0000000;8800.0000000;8845.0000000;1029
NDMS-RM;60;08/09/20;16:00:00;8845.0000000;8907.0000000;8662.0000000;8900.0000000;617
NDMS-RM;60;08/09/20;17:00:00;8877.0000000;8945.0000000;8710.0000000;8945.0000000;867
NDMS-RM;60;08/09/20;18:00:00;8960.0000000;9080.0000000;8882.0000000;8925.0000000;1100
NDMS-RM;60;08/09/20;19:00:00;8930.0000000;9000.0000000;8853.0000000;8892.0000000;948
NDMS-RM;60;08/09/20;20:00:00;8892.0000000;8939.0000000;8845.0000000;8914.0000000;312
NDMS-RM;60;08/09/20;21:00:00;8915.0000000;8915.0000000;8825.0000000;8825.0000000;357
NDMS-RM;60;08/09/20;22:00:00;8830.0000000;8830.0000000;8680.0000000;8758.0000000;334
NDMS-RM;60;08/09/20;23:00:00;8705.0000000;8734.0000000;8605.0000000;8626.0000000;1275
NDMS-RM;60;09/09/20;00:00:00;8626.0000000;8720.0000000;8599.0000000;8719.0000000;154
NDMS-RM;60;09/09/20;11:00:00;8893.0000000;8893.0000000;8640.0000000;8789.0000000;1131
NDMS-RM;60;09/09/20;12:00:00;8786.0000000;8878.0000000;8760.0000000;8865.0000000;683
NDMS-RM;60;09/09/20;13:00:00;8870.0000000;8922.0000000;8842.0000000;8918.0000000;307
NDMS-RM;60;09/09/20;14:00:00;8924.0000000;8930.0000000;8835.0000000;8862.0000000;865
NDMS-RM;60;09/09/20;15:00:00;8831.0000000;8846.0000000;8749.0000000;8839.0000000;512
NDMS-RM;60;09/09/20;16:00:00;8839.0000000;8850.0000000;8777.0000000;8795.0000000;426
NDMS-RM;60;09/09/20;17:00:00;8800.0000000;8881.0000000;8727.0000000;8795.0000000;605
