<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
MOEX.QGDO:TQBR;60;24/11/20;19:00:00;2674.5000000;3023.0000000;2674.5000000;2820.0000000;263265
MOEX.QGDO:TQBR;60;24/11/20;20:00:00;2830.0000000;3189.0000000;2830.0000000;3188.5000000;390106
MOEX.QGDO:TQBR;60;24/11/20;21:00:00;3188.5000000;3192.5000000;3000.0000000;3090.0000000;363755
MOEX.QGDO:TQBR;60;24/11/20;22:00:00;3087.0000000;3192.5000000;3035.5000000;3085.0000000;484556
MOEX.QGDO:TQBR;60;24/11/20;23:00:00;3085.0000000;3099.0000000;3025.0000000;3037.5000000;139071
MOEX.QGDO:TQBR;60;25/11/20;00:00:00;3036.0000000;3047.0000000;3025.0000000;3033.0000000;110999
MOEX.QGDO:TQBR;60;25/11/20;11:00:00;3150.5000000;3282.0000000;3070.0000000;3130.0000000;420492
MOEX.QGDO:TQBR;60;25/11/20;12:00:00;3130.0000000;3133.0000000;2888.0000000;2950.0000000;229073
MOEX.QGDO:TQBR;60;25/11/20;13:00:00;2950.0000000;3046.0000000;2940.5000000;3012.0000000;103411
MOEX.QGDO:TQBR;60;25/11/20;14:00:00;3012.0000000;3035.0000000;3007.0000000;3013.0000000;50381
MOEX.QGDO:TQBR;60;25/11/20;15:00:00;3013.5000000;3031.0000000;3004.5000000;3029.5000000;42573
MOEX.QGDO:TQBR;60;25/11/20;16:00:00;3029.0000000;3032.0000000;3021.0000000;3030.0000000;25814
MOEX.QGDO:TQBR;60;25/11/20;17:00:00;3031.5000000;3079.0000000;3026.0000000;3075.0000000;86978
MOEX.QGDO:TQBR;60;25/11/20;18:00:00;3075.0000000;3099.0000000;3029.0000000;3065.0000000;87770
MOEX.QGDO:TQBR;60;25/11/20;19:00:00;3065.0000000;3067.5000000;3001.0000000;3030.0000000;76796
MOEX.QGDO:TQBR;60;25/11/20;20:00:00;3030.0000000;3048.0000000;3001.0000000;3016.0000000;35107
MOEX.QGDO:TQBR;60;25/11/20;21:00:00;3018.5000000;3030.0000000;3010.0000000;3023.5000000;39149
MOEX.QGDO:TQBR;60;25/11/20;22:00:00;3023.5000000;3029.0000000;3012.5000000;3025.0000000;25544
MOEX.QGDO:TQBR;60;25/11/20;23:00:00;3025.0000000;3029.0000000;3005.0000000;3008.0000000;10127
MOEX.QGDO:TQBR;60;26/11/20;00:00:00;3008.0000000;3014.0000000;2937.0000000;2954.0000000;50149
MOEX.QGDO:TQBR;60;26/11/20;11:00:00;3000.0000000;3002.0000000;2924.5000000;2941.5000000;49430
MOEX.QGDO:TQBR;60;26/11/20;12:00:00;2941.5000000;2959.0000000;2938.0000000;2949.0000000;20756
MOEX.QGDO:TQBR;60;26/11/20;13:00:00;2949.0000000;2952.5000000;2938.5000000;2940.0000000;12915
MOEX.QGDO:TQBR;60;26/11/20;14:00:00;2940.0000000;2940.0000000;2925.0000000;2938.0000000;27839
MOEX.QGDO:TQBR;60;26/11/20;15:00:00;2937.5000000;2942.0000000;2932.5000000;2940.0000000;12413
MOEX.QGDO:TQBR;60;26/11/20;16:00:00;2940.5000000;2945.0000000;2934.0000000;2938.0000000;10987
MOEX.QGDO:TQBR;60;26/11/20;17:00:00;2938.0000000;2945.5000000;2938.0000000;2945.5000000;11801
MOEX.QGDO:TQBR;60;26/11/20;18:00:00;2945.5000000;2955.5000000;2942.0000000;2955.0000000;15166
MOEX.QGDO:TQBR;60;26/11/20;19:00:00;2955.5000000;2956.0000000;2950.0000000;2950.5000000;9985
MOEX.QGDO:TQBR;60;26/11/20;20:00:00;2950.0000000;2954.5000000;2900.5000000;2939.0000000;10446
MOEX.QGDO:TQBR;60;26/11/20;21:00:00;2940.0000000;2940.0000000;2938.5000000;2939.0000000;3765
MOEX.QGDO:TQBR;60;26/11/20;22:00:00;2939.0000000;2940.0000000;2930.5000000;2939.5000000;3803
MOEX.QGDO:TQBR;60;26/11/20;23:00:00;2940.0000000;2950.0000000;2938.0000000;2950.0000000;3058
MOEX.QGDO:TQBR;60;27/11/20;00:00:00;2950.0000000;2950.0000000;2939.0000000;2944.0000000;1566
MOEX.QGDO:TQBR;60;27/11/20;11:00:00;2965.5000000;2995.0000000;2935.0000000;2952.0000000;44192
MOEX.QGDO:TQBR;60;27/11/20;12:00:00;2952.0000000;2960.0000000;2950.0000000;2958.0000000;10383
MOEX.QGDO:TQBR;60;27/11/20;13:00:00;2955.5000000;2975.0000000;2955.5000000;2973.5000000;10298
MOEX.QGDO:TQBR;60;27/11/20;14:00:00;2972.0000000;2980.0000000;2972.0000000;2980.0000000;11186
MOEX.QGDO:TQBR;60;27/11/20;15:00:00;2980.0000000;2980.0000000;2972.0000000;2979.5000000;9205
MOEX.QGDO:TQBR;60;27/11/20;16:00:00;2979.5000000;2980.0000000;2969.0000000;2972.0000000;21338
MOEX.QGDO:TQBR;60;27/11/20;17:00:00;2971.5000000;2974.5000000;2960.0000000;2970.5000000;15786
MOEX.QGDO:TQBR;60;27/11/20;18:00:00;2970.5000000;2999.0000000;2913.0000000;2969.5000000;78597
MOEX.QGDO:TQBR;60;27/11/20;19:00:00;2969.5000000;3008.0000000;2960.0000000;3000.0000000;43714
MOEX.QGDO:TQBR;60;27/11/20;20:00:00;3033.5000000;3082.0000000;3010.0000000;3015.0000000;54922
MOEX.QGDO:TQBR;60;27/11/20;21:00:00;3015.0000000;3044.0000000;3003.0000000;3044.0000000;26629
MOEX.QGDO:TQBR;60;27/11/20;22:00:00;3042.5000000;3044.0000000;3020.0000000;3027.0000000;5274
MOEX.QGDO:TQBR;60;27/11/20;23:00:00;3027.0000000;3029.5000000;3022.0000000;3024.5000000;2072
MOEX.QGDO:TQBR;60;28/11/20;00:00:00;3024.0000000;3026.5000000;3021.0000000;3025.0000000;2587
MOEX.QGDO:TQBR;60;30/11/20;11:00:00;2999.5000000;3023.0000000;2976.0000000;3015.5000000;10675
MOEX.QGDO:TQBR;60;30/11/20;12:00:00;3015.5000000;3028.0000000;3014.5000000;3017.5000000;5891
MOEX.QGDO:TQBR;60;30/11/20;13:00:00;3017.5000000;3020.0000000;3010.5000000;3012.5000000;10946
MOEX.QGDO:TQBR;60;30/11/20;14:00:00;3012.5000000;3016.5000000;3009.0000000;3009.0000000;12423
MOEX.QGDO:TQBR;60;30/11/20;15:00:00;3009.0000000;3009.5000000;2967.5000000;3009.0000000;28631
MOEX.QGDO:TQBR;60;30/11/20;16:00:00;3009.0000000;3019.0000000;3000.0000000;3016.0000000;14072
MOEX.QGDO:TQBR;60;30/11/20;17:00:00;3015.5000000;3019.0000000;3007.5000000;3015.0000000;8463
MOEX.QGDO:TQBR;60;30/11/20;18:00:00;3015.0000000;3050.0000000;3000.0000000;3046.0000000;37598
MOEX.QGDO:TQBR;60;30/11/20;19:00:00;3046.0000000;3050.0000000;3025.0000000;3047.5000000;10671
MOEX.QGDO:TQBR;60;30/11/20;20:00:00;3080.0000000;3140.0000000;3058.0000000;3064.0000000;39221
MOEX.QGDO:TQBR;60;30/11/20;21:00:00;3066.0000000;3082.5000000;3064.0000000;3078.0000000;9153
MOEX.QGDO:TQBR;60;30/11/20;22:00:00;3077.5000000;3090.0000000;3075.0000000;3084.0000000;12428
MOEX.QGDO:TQBR;60;30/11/20;23:00:00;3086.0000000;3090.0000000;3050.0000000;3063.5000000;6376
MOEX.QGDO:TQBR;60;01/12/20;00:00:00;3063.5000000;3071.0000000;3054.5000000;3071.0000000;3468
MOEX.QGDO:TQBR;60;01/12/20;11:00:00;3049.5000000;3097.0000000;3001.0000000;3010.5000000;21975
MOEX.QGDO:TQBR;60;01/12/20;12:00:00;3006.0000000;3044.0000000;3005.0000000;3041.0000000;14064
MOEX.QGDO:TQBR;60;01/12/20;13:00:00;3041.0000000;3043.5000000;3030.0000000;3041.0000000;3758
MOEX.QGDO:TQBR;60;01/12/20;14:00:00;3041.0000000;3046.5000000;3005.0000000;3012.5000000;15134
MOEX.QGDO:TQBR;60;01/12/20;15:00:00;3012.0000000;3025.5000000;3000.5000000;3021.0000000;15505
MOEX.QGDO:TQBR;60;01/12/20;16:00:00;3020.5000000;3032.0000000;3020.5000000;3022.0000000;5571
MOEX.QGDO:TQBR;60;01/12/20;17:00:00;3022.0000000;3034.5000000;3021.5000000;3033.0000000;4675
MOEX.QGDO:TQBR;60;01/12/20;18:00:00;3034.5000000;3037.5000000;3020.0000000;3027.5000000;17477
MOEX.QGDO:TQBR;60;01/12/20;19:00:00;3027.0000000;3031.5000000;3020.5000000;3027.0000000;17071
MOEX.QGDO:TQBR;60;01/12/20;20:00:00;3027.0000000;3033.0000000;3020.5000000;3027.5000000;2104
MOEX.QGDO:TQBR;60;01/12/20;21:00:00;3029.0000000;3058.0000000;3024.5000000;3038.5000000;10244
MOEX.QGDO:TQBR;60;01/12/20;22:00:00;3036.5000000;3056.5000000;3031.5000000;3052.5000000;8594
MOEX.QGDO:TQBR;60;01/12/20;23:00:00;3051.0000000;3064.5000000;3048.0000000;3055.5000000;8578
MOEX.QGDO:TQBR;60;02/12/20;00:00:00;3059.0000000;3061.0000000;3040.0000000;3059.5000000;5685
MOEX.QGDO:TQBR;60;02/12/20;11:00:00;3031.0000000;3050.0000000;3015.0000000;3024.0000000;11447
MOEX.QGDO:TQBR;60;02/12/20;12:00:00;3025.5000000;3029.0000000;3020.0000000;3023.5000000;3008
MOEX.QGDO:TQBR;60;02/12/20;13:00:00;3023.5000000;3029.0000000;3020.5000000;3023.5000000;3800
MOEX.QGDO:TQBR;60;02/12/20;14:00:00;3023.5000000;3029.0000000;3019.5000000;3028.0000000;14162
MOEX.QGDO:TQBR;60;02/12/20;15:00:00;3028.0000000;3030.0000000;3019.5000000;3025.0000000;2171
MOEX.QGDO:TQBR;60;02/12/20;16:00:00;3025.0000000;3028.5000000;3017.5000000;3024.0000000;3510
MOEX.QGDO:TQBR;60;02/12/20;17:00:00;3024.5000000;3024.5000000;3016.0000000;3016.5000000;4345
MOEX.QGDO:TQBR;60;02/12/20;18:00:00;3016.5000000;3025.0000000;3003.0000000;3017.0000000;27497
MOEX.QGDO:TQBR;60;02/12/20;19:00:00;3016.5000000;3025.0000000;3005.0000000;3010.5000000;5049
