<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
TNXS-RM;60;24/08/20;23:00:00;20115.0000000;20172.0000000;20095.0000000;20172.0000000;10
TNXS-RM;60;25/08/20;00:00:00;20500.0000000;20500.0000000;20500.0000000;20500.0000000;4
TNXS-RM;60;25/08/20;11:00:00;20910.0000000;20910.0000000;20339.0000000;20465.0000000;49
TNXS-RM;60;25/08/20;12:00:00;20465.0000000;20513.0000000;20350.0000000;20513.0000000;68
TNXS-RM;60;25/08/20;13:00:00;20513.0000000;20521.0000000;20498.0000000;20518.0000000;20
TNXS-RM;60;25/08/20;14:00:00;20510.0000000;20510.0000000;20436.0000000;20483.0000000;48
TNXS-RM;60;25/08/20;15:00:00;20453.0000000;20462.0000000;20350.0000000;20420.0000000;45
TNXS-RM;60;25/08/20;16:00:00;20443.0000000;20465.0000000;20422.0000000;20463.0000000;12
TNXS-RM;60;25/08/20;17:00:00;20463.0000000;20611.0000000;20300.0000000;20513.0000000;43
TNXS-RM;60;25/08/20;18:00:00;20540.0000000;20712.0000000;20540.0000000;20673.0000000;31
TNXS-RM;60;25/08/20;19:00:00;20757.0000000;21066.0000000;20757.0000000;20979.0000000;89
TNXS-RM;60;25/08/20;20:00:00;21007.0000000;21146.0000000;20965.0000000;21078.0000000;122
TNXS-RM;60;25/08/20;21:00:00;21128.0000000;21285.0000000;21105.0000000;21150.0000000;50
TNXS-RM;60;25/08/20;22:00:00;21270.0000000;21335.0000000;21214.0000000;21241.0000000;181
TNXS-RM;60;25/08/20;23:00:00;21241.0000000;21260.0000000;21148.0000000;21148.0000000;30
TNXS-RM;60;26/08/20;00:00:00;20965.0000000;21275.0000000;20965.0000000;21275.0000000;17
TNXS-RM;60;26/08/20;11:00:00;20850.0000000;21700.0000000;20850.0000000;21425.0000000;160
TNXS-RM;60;26/08/20;12:00:00;21425.0000000;21527.0000000;21381.0000000;21513.0000000;110
TNXS-RM;60;26/08/20;13:00:00;21511.0000000;21534.0000000;21363.0000000;21500.0000000;33
TNXS-RM;60;26/08/20;14:00:00;21512.0000000;21599.0000000;21500.0000000;21550.0000000;69
TNXS-RM;60;26/08/20;15:00:00;21550.0000000;21626.0000000;21376.0000000;21376.0000000;72
TNXS-RM;60;26/08/20;16:00:00;21542.0000000;21559.0000000;21502.0000000;21524.0000000;65
TNXS-RM;60;26/08/20;17:00:00;21589.0000000;21995.0000000;21589.0000000;21792.0000000;299
TNXS-RM;60;26/08/20;18:00:00;21900.0000000;22574.0000000;21900.0000000;22531.0000000;373
TNXS-RM;60;26/08/20;19:00:00;22601.0000000;22627.0000000;22299.0000000;22362.0000000;313
TNXS-RM;60;26/08/20;20:00:00;22370.0000000;22400.0000000;22102.0000000;22400.0000000;61
TNXS-RM;60;26/08/20;21:00:00;22445.0000000;22650.0000000;22362.0000000;22650.0000000;284
TNXS-RM;60;26/08/20;22:00:00;22677.0000000;22893.0000000;22523.0000000;22523.0000000;225
TNXS-RM;60;26/08/20;23:00:00;22500.0000000;23220.0000000;22406.0000000;23035.0000000;503
TNXS-RM;60;27/08/20;00:00:00;23012.0000000;23300.0000000;22670.0000000;23090.0000000;149
TNXS-RM;60;27/08/20;11:00:00;22707.0000000;22904.0000000;22707.0000000;22850.0000000;119
TNXS-RM;60;27/08/20;12:00:00;22850.0000000;22850.0000000;22693.0000000;22779.0000000;152
TNXS-RM;60;27/08/20;13:00:00;22758.0000000;22792.0000000;22661.0000000;22775.0000000;79
TNXS-RM;60;27/08/20;14:00:00;22690.0000000;22829.0000000;22657.0000000;22822.0000000;27
TNXS-RM;60;27/08/20;15:00:00;22740.0000000;22870.0000000;22740.0000000;22809.0000000;42
TNXS-RM;60;27/08/20;16:00:00;22797.0000000;22797.0000000;22580.0000000;22711.0000000;110
TNXS-RM;60;27/08/20;17:00:00;22620.0000000;22647.0000000;22169.0000000;22313.0000000;186
TNXS-RM;60;27/08/20;18:00:00;22282.0000000;22600.0000000;22260.0000000;22352.0000000;77
TNXS-RM;60;27/08/20;19:00:00;22337.0000000;22461.0000000;22337.0000000;22340.0000000;111
TNXS-RM;60;27/08/20;20:00:00;22460.0000000;22460.0000000;22056.0000000;22056.0000000;103
TNXS-RM;60;27/08/20;21:00:00;22040.0000000;22131.0000000;21938.0000000;22086.0000000;180
TNXS-RM;60;27/08/20;22:00:00;22100.0000000;22211.0000000;22100.0000000;22144.0000000;38
TNXS-RM;60;27/08/20;23:00:00;22130.0000000;22179.0000000;22017.0000000;22017.0000000;87
TNXS-RM;60;28/08/20;00:00:00;22010.0000000;22100.0000000;22000.0000000;22100.0000000;16
TNXS-RM;60;28/08/20;11:00:00;22133.0000000;22133.0000000;21930.0000000;21999.0000000;123
TNXS-RM;60;28/08/20;12:00:00;21886.0000000;21909.0000000;21750.0000000;21875.0000000;107
TNXS-RM;60;28/08/20;13:00:00;21835.0000000;21875.0000000;21689.0000000;21875.0000000;78
TNXS-RM;60;28/08/20;14:00:00;21813.0000000;21915.0000000;21732.0000000;21802.0000000;102
TNXS-RM;60;28/08/20;15:00:00;21865.0000000;21902.0000000;21840.0000000;21880.0000000;20
TNXS-RM;60;28/08/20;16:00:00;21870.0000000;21870.0000000;21870.0000000;21870.0000000;1
TNXS-RM;60;28/08/20;17:00:00;21870.0000000;22040.0000000;21830.0000000;21874.0000000;47
TNXS-RM;60;28/08/20;18:00:00;21936.0000000;21947.0000000;21700.0000000;21726.0000000;159
TNXS-RM;60;28/08/20;19:00:00;21689.0000000;21916.0000000;21689.0000000;21916.0000000;60
TNXS-RM;60;28/08/20;20:00:00;21753.0000000;21753.0000000;21731.0000000;21731.0000000;3
TNXS-RM;60;28/08/20;21:00:00;21700.0000000;21702.0000000;21645.0000000;21670.0000000;22
TNXS-RM;60;28/08/20;22:00:00;21670.0000000;21688.0000000;21597.0000000;21597.0000000;9
TNXS-RM;60;28/08/20;23:00:00;21664.0000000;21751.0000000;21634.0000000;21751.0000000;17
TNXS-RM;60;29/08/20;00:00:00;21880.0000000;22123.0000000;21880.0000000;22123.0000000;3
TNXS-RM;60;31/08/20;11:00:00;21989.0000000;22005.0000000;21919.0000000;21923.0000000;27
TNXS-RM;60;31/08/20;12:00:00;21792.0000000;21989.0000000;21763.0000000;21982.0000000;164
TNXS-RM;60;31/08/20;13:00:00;21982.0000000;22005.0000000;21902.0000000;22005.0000000;101
